Номер,Слово,Встречаемость
1416,обжог,1
1417,воспитанный,1
1418,палил,1
1419,огонь,1
1420,безжалостного,1
1421,прятал,1
1422,траву,1
1423,усталую,1
1424,главу,1
1425,иссохший,1
1426,лист,3
1427,терновым,1
1428,моим,2
1429,челом,1
1430,свивался,1
1431,огнем,1
1432,сама,1
1433,сверкая,2
1434,быстро,1
1435,кружились,1
1436,белых,2
1437,пар,1
1438,спал,1
1439,оцепенении,1
1440,глухом,1
1441,отчаянья,1
1442,тяжелым,1
1443,крикнул,1
1444,коростель,1
1445,стрекозы,1
1446,живая,1
1447,трель,1
1448,послышалась,1
1449,ручья,1
1450,ребячий,1
1451,лепет,1
1452,сухим,1
1453,бурьяном,1
1454,шелестя,1
1455,желтою,1
1456,спиной,1
1457,надписью,1
1458,златой,1
1459,покрытый,1
1460,донизу,1
1461,клинок,1
1462,браздя,1
1463,рассыпчатый,1
1464,бережно,1
1465,нежася,1
1466,тройным,1
1467,свивалася,1
1468,кольцом,1
1469,обожжена,1
1470,металась,1
1471,прыгала,1
1472,пряталась,1
1473,кустах,1
1474,светло,1
1475,пары,1
1476,чернели,1
1477,сверкал,1
1478,зубчатою,1
1479,арагва,1
1480,кура,1
1481,обвив,1
1482,каймой,1
1483,серебра,1
1484,подошвы,1
1485,свежих,1
1486,островов,1
1487,корням,1
1488,шепчущих,1
1489,бежали,1
1490,дружно,1
1491,до,1
1492,встать,1
1493,закружилось,1
1494,быстротой,1
1495,кричать,1
1496,сухой,1
1497,беззвучен,1
1498,томил,1
1499,предсмертный,1
1500,бред,2
1501,лежу,1
1502,влажном,1
1503,дне,1
1504,речки,1
1505,таинственная,1
1506,мгла,1
1507,жажду,1
1508,вечную,1
1509,поя,1
1510,лед,1
1511,холодная,1
1512,журча,1
1513,вливалася,1
1514,боялся,1
1515,заснуть,1
1516,любо,1
1517,мною,1
1518,волна,1
1519,теснилася,1
1520,солнце,2
1521,хрусталь,1
1522,сияло,1
1523,сладостней,1
1524,луны,1
1525,рыбок,1
1526,пестрые,1
1527,стада,1
1528,играли,1
1529,приветливей,1
1530,ласкалась,1
1531,спина,1
1532,вилась,1
1533,зеленых,1
1534,грустно,1
1535,нежен,1
1536,надивиться,1
1537,сребристый,1
1538,голосок,1
1539,речи,1
1540,странные,1
1541,шептал,1
1542,пел,1
1543,замолкал,1
1544,останься,1
1545,здесь,1
1546,воде,1
1547,привольное,1
1548,житье,1
1549,холод,1
1550,покой,2
1551,созову,1
1552,пляской,1
1553,развеселим,1
1554,усталый,1
1555,твой,2
1556,усни,1
1557,постель,1
1558,твоя,1
1559,мягка,1
1560,прозрачен,1
1561,пройдут,2
1562,века,1
1563,говор,1
1564,чудных,1
1565,милый,1
1566,утаю,1
1567,тебя,1
1568,люблю,3
1569,вольную,1
1570,струю,1
1571,мнилось,1
1572,звучная,1
1573,сливала,1
1574,тихий,1
1575,рыбки,1
1576,забылся,1
1577,глазах,1
1578,угас,1
1579,безумный,1
